Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra	Ch13_X	Ch13_Y	Ch13_Z	Ch13_phi	Ch13_theta	Ch13_RMS	Ch13_Extra	Ch14_X	Ch14_Y	Ch14_Z	Ch14_phi	Ch14_theta	Ch14_RMS	Ch14_Extra	Ch15_X	Ch15_Y	Ch15_Z	Ch15_phi	Ch15_theta	Ch15_RMS	Ch15_Extra	Ch16_X	Ch16_Y	Ch16_Z	Ch16_phi	Ch16_theta	Ch16_RMS	Ch16_Extra
78.51	1.73	-15.37	116.03	27.99	3.67	0.00	66.76	-0.02	-12.85	111.02	-19.31	2.26	0.00	58.70	-1.24	-9.75	96.80	-18.11	4.05	0.00	90.40	7.48	-32.95	-39.45	22.95	4.71	0.00	90.28	8.50	-5.64	92.54	-14.97	2.89	0.00	104.12	3.95	-5.47	82.23	11.77	2.48	0.00	102.32	6.50	-33.92	94.86	6.48	2.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.69	64.13	17.58	16.80	80.79	10.64	0.00	-22.89	-90.38	16.39	4.31	4.59	3.70	0.00	96.46	-1.20	54.59	104.53	22.88	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.51	1.73	-15.35	116.05	28.00	3.80	0.00	66.80	0.01	-12.84	111.03	-19.29	2.02	0.00	58.74	-1.23	-9.80	96.79	-18.09	4.57	0.00	90.47	7.53	-32.93	-39.45	22.95	4.43	0.00	90.29	8.50	-5.64	92.54	-14.98	3.27	0.00	104.20	3.95	-5.49	82.25	11.76	2.40	0.00	102.32	6.48	-33.92	94.87	6.48	2.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.69	64.14	17.58	16.79	80.79	10.92	0.00	-22.89	-90.38	16.39	4.31	4.59	3.55	0.00	96.47	-1.20	54.59	104.53	22.88	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.51	1.72	-15.34	116.06	28.00	3.59	0.00	66.82	0.03	-12.84	111.04	-19.28	2.13	0.00	58.75	-1.24	-9.83	96.79	-18.09	4.78	0.00	90.49	7.55	-32.92	-39.45	22.95	4.37	0.00	90.29	8.50	-5.64	92.55	-14.98	3.29	0.00	104.24	3.95	-5.49	82.26	11.76	2.46	0.00	102.32	6.47	-33.92	94.87	6.48	2.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.70	64.14	17.58	16.78	80.79	10.90	0.00	-22.89	-90.39	16.39	4.31	4.59	3.98	0.00	96.47	-1.20	54.59	104.54	22.88	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.51	1.71	-15.33	116.07	28.00	3.73	0.00	66.83	0.02	-12.85	111.04	-19.28	2.28	0.00	58.74	-1.25	-9.82	96.79	-18.09	4.67	0.00	90.48	7.53	-32.91	-39.46	22.95	4.27	0.00	90.29	8.50	-5.64	92.56	-14.98	3.01	0.00	104.24	3.94	-5.48	82.26	11.76	2.99	0.00	102.30	6.47	-33.91	94.87	6.49	2.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.70	64.15	17.58	16.77	80.79	10.64	0.00	-22.88	-90.39	16.39	4.31	4.59	3.74	0.00	96.48	-1.20	54.59	104.54	22.88	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.52	1.70	-15.34	116.07	28.01	3.68	0.00	66.82	0.02	-12.86	111.03	-19.29	2.15	0.00	58.71	-1.26	-9.79	96.79	-18.09	4.04	0.00	90.45	7.49	-32.91	-39.46	22.96	4.57	0.00	90.29	8.50	-5.64	92.56	-14.98	3.10	0.00	104.22	3.93	-5.47	82.26	11.76	3.10	0.00	102.29	6.48	-33.90	94.88	6.50	2.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.70	64.15	17.58	16.76	80.79	10.90	0.00	-22.88	-90.39	16.39	4.31	4.59	3.61	0.00	96.48	-1.21	54.59	104.55	22.88	1.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.52	1.70	-15.34	116.08	28.01	3.53	0.00	66.82	0.01	-12.86	111.03	-19.29	1.82	0.00	58.71	-1.26	-9.77	96.79	-18.09	3.93	0.00	90.44	7.47	-32.91	-39.46	22.96	4.50	0.00	90.30	8.50	-5.64	92.57	-14.98	3.52	0.00	104.20	3.93	-5.46	82.26	11.75	2.62	0.00	102.29	6.49	-33.89	94.87	6.50	2.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.71	64.16	17.58	16.75	80.80	11.04	0.00	-22.88	-90.39	16.39	4.32	4.59	3.69	0.00	96.48	-1.21	54.59	104.55	22.88	1.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.52	1.70	-15.34	116.08	28.01	3.71	0.00	66.82	0.02	-12.86	111.03	-19.29	2.21	0.00	58.72	-1.26	-9.78	96.79	-18.08	4.58	0.00	90.46	7.48	-32.91	-39.45	22.96	4.27	0.00	90.30	8.50	-5.64	92.57	-14.98	3.49	0.00	104.21	3.92	-5.46	82.26	11.75	2.72	0.00	102.30	6.48	-33.88	94.87	6.50	2.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.71	64.16	17.58	16.75	80.80	10.80	0.00	-22.88	-90.39	16.39	4.32	4.59	3.62	0.00	96.49	-1.21	54.59	104.55	22.87	2.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.52	1.70	-15.33	116.09	28.02	3.71	0.00	66.82	0.03	-12.85	111.02	-19.29	2.37	0.00	58.75	-1.25	-9.79	96.79	-18.08	4.76	0.00	90.48	7.49	-32.91	-39.45	22.96	4.38	0.00	90.30	8.50	-5.64	92.58	-14.98	3.32	0.00	104.21	3.92	-5.46	82.26	11.74	3.00	0.00	102.31	6.47	-33.87	94.87	6.50	2.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.71	64.16	17.58	16.75	80.80	11.13	0.00	-22.88	-90.40	16.39	4.32	4.59	3.92	0.00	96.49	-1.21	54.59	104.55	22.87	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.52	1.70	-15.32	116.10	28.03	3.70	0.00	66.84	0.02	-12.85	111.01	-19.29	1.57	0.00	58.76	-1.25	-9.79	96.80	-18.07	4.50	0.00	90.48	7.50	-32.90	-39.44	22.96	4.28	0.00	90.30	8.50	-5.64	92.58	-14.99	3.39	0.00	104.22	3.92	-5.46	82.26	11.74	2.90	0.00	102.32	6.47	-33.87	94.87	6.50	2.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.71	64.16	17.58	16.75	80.80	11.09	0.00	-22.88	-90.40	16.39	4.32	4.59	3.90	0.00	96.49	-1.21	54.59	104.55	22.87	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
78.52	1.70	-15.32	116.11	28.04	3.72	0.00	66.85	0.02	-12.86	111.01	-19.29	1.59	0.00	58.75	-1.27	-9.78	96.81	-18.06	4.61	0.00	90.47	7.49	-32.89	-39.44	22.96	4.52	0.00	90.30	8.50	-5.64	92.58	-14.99	3.20	0.00	104.21	3.92	-5.45	82.26	11.75	2.87	0.00	102.32	6.47	-33.86	94.87	6.50	2.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-37.71	64.16	17.58	16.75	80.80	10.74	0.00	-22.88	-90.40	16.39	4.32	4.59	3.80	0.00	96.49	-1.21	54.59	104.55	22.87	1.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
